Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type,dew_point_approx,humid_x_precip_raw,Temperature_normalized,Humidity_normalized,Wind_Speed_normalized,Precipitation_pct_normalized,Atmospheric_Pressure_normalized,UV_Index_normalized,Visibility_km_normalized,dew_point_approx_normalized,humid_x_precip_raw_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain,label_str,label_idx,split
10.0,64,14.0,18.0,overcast,1011.96,1,Spring,8.5,coastal,Cloudy,2.8,1152.0,0.26119402985074625,0.55,0.28865979381443296,0.18,0.5308075872610188,0.07142857142857142,0.425,0.2682584269662921,0.1152,0,1,0,0,1,0,0,overcast,2,train
29.0,63,6.0,68.0,overcast,992.45,0,Winter,3.0,mountain,Rainy,21.6,4284.0,0.40298507462686567,0.5375,0.12371134020618557,0.68,0.48192137111929645,0.0,0.15,0.4002808988764045,0.4284,0,0,0,1,0,0,1,overcast,2,train
15.0,55,1.5,32.0,partly cloudy,1009.01,2,Autumn,5.5,inland,Cloudy,6.0,1760.0,0.29850746268656714,0.4375,0.030927835051546393,0.32,0.5234157708787491,0.14285714285714285,0.275,0.29073033707865165,0.176,1,0,0,0,0,1,0,partly cloudy,3,train
3.0,75,46.5,87.0,overcast,996.85,5,Winter,4.5,inland,Snowy,-2.0,6525.0,0.208955223880597,0.6875,0.9587628865979382,0.87,0.49294645318098673,0.35714285714285715,0.225,0.2345505617977528,0.6525,0,0,0,1,0,1,0,overcast,2,test
24.0,52,9.0,29.0,partly cloudy,1007.84,1,Autumn,8.0,mountain,Cloudy,14.4,1508.0,0.3656716417910448,0.4,0.18556701030927836,0.29,0.520484101330527,0.07142857142857142,0.4,0.3497191011235955,0.1508,1,0,0,0,0,0,1,partly cloudy,3,train
25.0,85,9.0,67.0,overcast,995.4,1,Winter,2.0,mountain,Rainy,22.0,5695.0,0.373134328358209,0.8125,0.18556701030927836,0.67,0.48931318750156594,0.07142857142857142,0.1,0.4030898876404494,0.5695,0,0,0,1,0,0,1,overcast,2,train
25.0,89,1.5,87.0,partly cloudy,1017.16,11,Summer,6.5,mountain,Sunny,22.8,7743.0,0.373134328358209,0.8625,0.030927835051546393,0.87,0.5438372296975618,0.7857142857142857,0.325,0.40870786516853935,0.7743,0,0,1,0,0,0,1,partly cloudy,3,test
24.0,47,8.0,17.0,clear,1025.22,5,Summer,6.0,mountain,Sunny,13.4,799.0,0.3656716417910448,0.3375,0.16494845360824742,0.17,0.5640331754742038,0.35714285714285715,0.3,0.3426966292134831,0.0799,0,0,1,0,0,0,1,clear,0,train
2.0,97,2.0,89.0,partly cloudy,993.14,0,Winter,3.0,inland,Snowy,1.4,8633.0,0.20149253731343283,0.9625,0.041237113402061855,0.89,0.48365030444260687,0.0,0.15,0.2584269662921348,0.8633,0,0,0,1,0,1,0,partly cloudy,3,train
21.0,54,3.0,17.0,clear,1026.15,7,Summer,8.0,mountain,Sunny,11.8,918.0,0.34328358208955223,0.425,0.061855670103092786,0.17,0.5663634769099704,0.5,0.4,0.3314606741573034,0.0918,0,0,1,0,0,0,1,clear,0,train
2.0,81,13.5,57.0,overcast,983.36,1,Winter,4.0,inland,Snowy,-1.7999999999999998,4617.0,0.20149253731343283,0.7625,0.27835051546391754,0.57,0.45914455386003156,0.07142857142857142,0.2,0.23595505617977527,0.4617,0,0,0,1,0,1,0,overcast,2,val
21.0,75,3.5,41.0,partly cloudy,1017.74,2,Winter,8.0,mountain,Cloudy,16.0,3075.0,0.34328358208955223,0.6875,0.07216494845360824,0.41,0.5452905359693302,0.14285714285714285,0.4,0.36095505617977525,0.3075,0,0,0,1,0,0,1,partly cloudy,3,test
11.0,52,6.0,97.0,overcast,1063.39,7,Summer,12.5,inland,Snowy,1.4000000000000004,5044.0,0.26865671641791045,0.4,0.12371134020618557,0.97,0.6596757623593678,0.5,0.625,0.2584269662921348,0.5044,0,0,1,0,0,1,0,overcast,2,train
31.0,62,6.5,84.0,overcast,1013.61,0,Spring,4.5,inland,Rainy,23.4,5208.0,0.417910447761194,0.525,0.13402061855670103,0.84,0.5349419930341527,0.0,0.225,0.4129213483146067,0.5208,0,1,0,0,0,1,0,overcast,2,train
33.0,31,6.5,18.0,clear,1022.53,7,Summer,8.5,coastal,Sunny,19.2,558.0,0.43283582089552236,0.1375,0.13402061855670103,0.18,0.5572928412137612,0.5,0.425,0.3834269662921348,0.0558,0,0,1,0,1,0,0,clear,0,val
34.0,47,5.0,4.0,clear,1027.53,9,Spring,10.0,inland,Sunny,23.4,188.0,0.44029850746268656,0.3375,0.10309278350515463,0.04,0.5698213435565911,0.6428571428571429,0.5,0.4129213483146067,0.0188,0,1,0,0,0,1,0,clear,0,train
21.0,66,13.5,29.0,partly cloudy,1018.98,3,Autumn,8.5,mountain,Cloudy,14.2,1914.0,0.34328358208955223,0.575,0.27835051546391754,0.29,0.548397604550352,0.21428571428571427,0.425,0.348314606741573,0.1914,1,0,0,0,0,0,1,partly cloudy,3,train
28.0,68,18.0,90.0,overcast,992.83,3,Winter,5.0,mountain,Rainy,21.6,6120.0,0.39552238805970147,0.6,0.3711340206185567,0.9,0.48287353729735155,0.21428571428571427,0.25,0.4002808988764045,0.612,0,0,0,1,0,0,1,overcast,2,train
33.0,62,10.0,83.0,partly cloudy,1009.48,1,Summer,3.5,inland,Rainy,25.4,5146.0,0.43283582089552236,0.525,0.20618556701030927,0.83,0.5245934500989752,0.07142857142857142,0.175,0.42696629213483145,0.5146,0,0,1,0,0,1,0,partly cloudy,3,train
25.0,96,6.0,90.0,overcast,1006.67,0,Autumn,4.5,mountain,Rainy,24.2,8640.0,0.373134328358209,0.95,0.12371134020618557,0.9,0.5175524317823046,0.0,0.225,0.4185393258426966,0.864,1,0,0,0,0,0,1,overcast,2,train
27.0,73,9.5,47.0,partly cloudy,1017.82,1,Summer,7.0,coastal,Cloudy,21.6,3431.0,0.3880597014925373,0.6625,0.1958762886597938,0.47,0.5454909920068156,0.07142857142857142,0.35,0.4002808988764045,0.3431,0,0,1,0,1,0,0,partly cloudy,3,train
49.0,75,11.5,82.0,partly cloudy,1029.09,10,Summer,7.0,coastal,Sunny,44.0,6150.0,0.5522388059701493,0.6875,0.23711340206185566,0.82,0.5737302362875539,0.7142857142857143,0.35,0.5575842696629214,0.615,0,0,1,0,1,0,0,partly cloudy,3,train
-5.0,73,12.0,63.0,partly cloudy,983.83,1,Winter,4.5,inland,Snowy,-10.4,4599.0,0.14925373134328357,0.6625,0.24742268041237114,0.63,0.46032223308025766,0.07142857142857142,0.225,0.17556179775280897,0.4599,0,0,0,1,0,1,0,partly cloudy,3,train
31.0,62,5.5,99.0,overcast,1019.92,0,Summer,4.5,mountain,Rainy,23.4,6138.0,0.417910447761194,0.525,0.1134020618556701,0.99,0.5507529629908039,0.0,0.225,0.4129213483146067,0.6138,0,0,1,0,0,0,1,overcast,2,train
2.0,91,6.5,92.0,overcast,999.46,0,Winter,2.5,inland,Snowy,0.19999999999999996,8372.0,0.20149253731343283,0.8875,0.13402061855670103,0.92,0.499486331403944,0.0,0.125,0.25,0.8372,0,0,0,1,0,1,0,overcast,2,train
32.0,35,2.5,63.0,partly cloudy,1160.48,2,Winter,0.0,coastal,Sunny,19.0,2205.0,0.4253731343283582,0.1875,0.05154639175257732,0.63,0.9029542208524393,0.14285714285714285,0.0,0.38202247191011235,0.2205,0,0,0,1,1,0,0,partly cloudy,3,train
-7.0,78,10.0,96.0,overcast,999.99,7,Winter,1.0,inland,Snowy,-11.4,7488.0,0.13432835820895522,0.725,0.20618556701030927,0.96,0.5008143526522839,0.5,0.05,0.16853932584269662,0.7488,0,0,0,1,0,1,0,overcast,2,val
27.0,43,1.0,8.0,clear,1022.48,9,Summer,9.0,mountain,Sunny,15.6,344.0,0.3880597014925373,0.2875,0.020618556701030927,0.08,0.557167556190333,0.6428571428571429,0.45,0.3581460674157303,0.0344,0,0,1,0,0,0,1,clear,0,train
12.0,56,9.5,19.0,partly cloudy,1014.4,4,Winter,6.5,mountain,Cloudy,3.1999999999999993,1064.0,0.27611940298507465,0.45,0.1958762886597938,0.19,0.5369214964043197,0.2857142857142857,0.325,0.27106741573033705,0.1064,0,0,0,1,0,0,1,partly cloudy,3,train
-7.0,93,9.0,60.0,overcast,995.63,1,Winter,4.0,inland,Snowy,-8.4,5580.0,0.13432835820895522,0.9125,0.18556701030927836,0.6,0.48988949860933617,0.07142857142857142,0.2,0.1896067415730337,0.558,0,0,0,1,0,1,0,overcast,2,train
15.0,81,28.5,71.0,partly cloudy,1008.0,4,Winter,6.0,inland,Cloudy,11.2,5751.0,0.29850746268656714,0.7625,0.5876288659793815,0.71,0.5208850134054974,0.2857142857142857,0.3,0.3272471910112359,0.5751,0,0,0,1,0,1,0,partly cloudy,3,train
30.0,64,6.0,67.0,partly cloudy,1009.12,3,Summer,4.0,coastal,Rainy,22.8,4288.0,0.41044776119402987,0.55,0.12371134020618557,0.67,0.5236913979302914,0.21428571428571427,0.2,0.40870786516853935,0.4288,0,0,1,0,1,0,0,partly cloudy,3,train
19.0,93,14.5,57.0,overcast,1018.44,0,Winter,4.0,inland,Rainy,17.6,5301.0,0.3283582089552239,0.9125,0.29896907216494845,0.57,0.5470445262973265,0.0,0.2,0.37219101123595505,0.5301,0,0,0,1,0,1,0,overcast,2,train
14.0,44,9.0,11.0,partly cloudy,853.01,14,Winter,3.5,coastal,Rainy,2.8000000000000007,484.0,0.291044776119403,0.3,0.18556701030927836,0.11,0.13252649778245504,1.0,0.175,0.26825842696629215,0.0484,0,0,0,1,1,0,0,partly cloudy,3,train
32.0,38,11.0,15.0,partly cloudy,824.71,9,Autumn,12.5,inland,Snowy,19.6,570.0,0.4253731343283582,0.225,0.2268041237113402,0.15,0.06161517452203771,0.6428571428571429,0.625,0.38623595505617975,0.057,1,0,0,0,0,1,0,partly cloudy,3,train
17.0,88,18.0,83.0,partly cloudy,1026.94,0,Spring,5.5,mountain,Sunny,14.6,7304.0,0.31343283582089554,0.85,0.3711340206185567,0.83,0.5683429802801374,0.0,0.275,0.35112359550561795,0.7304,0,1,0,0,0,0,1,partly cloudy,3,test
23.0,88,11.5,65.0,overcast,1000.74,1,Winter,5.0,mountain,Rainy,20.6,5720.0,0.3582089552238806,0.85,0.23711340206185566,0.65,0.5026936280037084,0.07142857142857142,0.25,0.3932584269662921,0.572,0,0,0,1,0,0,1,overcast,2,train
28.0,35,9.5,0.0,partly cloudy,1023.62,9,Winter,10.0,coastal,Sunny,15.0,0.0,0.39552238805970147,0.1875,0.1958762886597938,0.0,0.5600240547244982,0.6428571428571429,0.5,0.3539325842696629,0.0,0,0,0,1,1,0,0,partly cloudy,3,train
-4.0,87,5.0,54.0,overcast,981.02,1,Winter,4.5,mountain,Snowy,-6.6,4698.0,0.15671641791044777,0.8375,0.10309278350515463,0.54,0.45328121476358707,0.07142857142857142,0.225,0.20224719101123592,0.4698,0,0,0,1,0,0,1,overcast,2,train
