Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
33.0,79,4.5,43.0,overcast,1007.94,1,Spring,7.0,coastal,Cloudy
29.0,47,8.5,2.0,clear,1027.33,11,Summer,5.5,inland,Sunny
27.0,39,5.0,16.0,clear,1021.61,5,Autumn,5.0,mountain,Sunny
20.0,48,9.5,6.0,clear,1015.16,6,Autumn,8.5,mountain,Sunny
22.0,69,1.0,19.0,partly cloudy,1011.5,2,Autumn,6.0,mountain,Cloudy
41.0,29,8.0,17.0,clear,1011.53,11,Spring,10.0,inland,Sunny
31.0,65,1.5,18.0,overcast,1008.47,2,Summer,9.0,inland,Cloudy
19.0,62,1.0,14.0,partly cloudy,1016.5,2,Autumn,5.5,coastal,Cloudy
23.0,52,1.0,36.0,partly cloudy,1017.92,1,Spring,8.5,mountain,Cloudy
29.0,77,0.5,91.0,cloudy,934.49,14,Autumn,17.0,inland,Sunny
16.0,67,6.5,45.0,partly cloudy,1008.69,2,Summer,5.5,coastal,Cloudy
46.0,94,4.0,90.0,clear,1022.88,10,Spring,12.5,mountain,Sunny
20.0,50,6.5,21.0,partly cloudy,1013.93,4,Autumn,6.0,inland,Cloudy
22.0,48,6.0,15.0,clear,1020.0,5,Spring,9.5,inland,Sunny
29.0,50,5.5,13.0,overcast,1002.04,4,Autumn,8.0,inland,Cloudy
40.0,39,9.5,15.0,clear,1029.84,8,Autumn,8.0,coastal,Sunny
33.0,25,4.0,3.0,partly cloudy,1027.6,11,Spring,6.5,coastal,Sunny
33.0,77,1.0,22.0,partly cloudy,1018.78,4,Winter,8.5,mountain,Cloudy
13.0,62,14.0,13.0,overcast,1003.74,1,Autumn,9.0,inland,Cloudy
13.0,75,9.5,40.0,overcast,1005.39,2,Autumn,8.0,inland,Cloudy
15.0,105,7.5,75.0,overcast,1006.45,10,Summer,4.0,inland,Cloudy
44.0,25,1.0,6.0,partly cloudy,1016.02,10,Summer,5.5,coastal,Sunny
24.0,50,3.5,10.0,overcast,1017.18,4,Summer,6.5,mountain,Cloudy
36.0,32,6.0,2.0,clear,1026.15,7,Spring,7.5,coastal,Sunny
35.0,49,9.0,14.0,clear,1010.52,10,Autumn,7.0,coastal,Sunny
26.0,43,7.0,18.0,partly cloudy,1024.37,5,Summer,6.0,mountain,Sunny
16.0,59,11.5,37.0,partly cloudy,1004.12,4,Summer,6.5,mountain,Cloudy
34.0,51,9.0,40.0,overcast,1009.21,4,Spring,6.0,coastal,Cloudy
30.0,58,1.0,43.0,overcast,1018.95,2,Winter,6.0,inland,Cloudy
17.0,69,2.0,35.0,overcast,1009.83,1,Spring,8.5,coastal,Cloudy
-13.0,60,9.5,18.0,partly cloudy,931.79,7,Winter,5.5,coastal,Cloudy
13.0,77,5.0,68.0,cloudy,1021.09,3,Autumn,8.5,inland,Cloudy
23.0,35,3.5,12.0,clear,1028.43,7,Spring,8.0,inland,Sunny
39.0,54,0.0,3.0,clear,1024.65,8,Autumn,9.5,inland,Sunny
38.0,69,6.5,19.0,clear,1011.2,5,Spring,8.0,coastal,Sunny
23.0,73,14.5,32.0,partly cloudy,1002.91,4,Autumn,7.5,mountain,Cloudy
20.0,55,2.0,7.0,clear,1029.67,9,Spring,9.0,inland,Sunny
26.0,68,4.0,39.0,partly cloudy,1016.39,4,Summer,5.5,mountain,Cloudy
20.0,42,4.0,13.0,partly cloudy,1028.3,5,Autumn,8.0,mountain,Sunny
28.0,65,13.5,48.0,partly cloudy,1013.19,4,Summer,5.5,mountain,Cloudy
41.0,57,4.0,19.0,clear,1025.59,10,Spring,6.5,coastal,Sunny
34.0,78,14.5,13.0,overcast,1014.07,1,Summer,6.0,mountain,Cloudy
33.0,30,9.5,7.0,partly cloudy,1019.11,11,Spring,5.0,coastal,Sunny
28.0,56,8.5,12.0,partly cloudy,1013.53,1,Winter,7.5,coastal,Cloudy
49.0,64,4.0,61.0,cloudy,1130.72,14,Winter,0.0,coastal,Cloudy
78.0,81,8.0,78.0,overcast,1010.19,1,Autumn,4.5,inland,Cloudy
31.0,100,15.0,90.0,clear,1019.98,8,Summer,5.0,coastal,Sunny
28.0,76,0.5,16.0,partly cloudy,1018.62,4,Summer,7.5,inland,Cloudy
18.0,74,0.5,39.0,overcast,1007.53,1,Autumn,8.5,mountain,Cloudy
32.0,63,3.0,46.0,partly cloudy,1006.96,1,Summer,8.5,inland,Cloudy
22.0,61,8.5,13.0,partly cloudy,1009.6,2,Spring,6.5,inland,Cloudy
63.0,86,13.0,75.0,clear,1027.31,14,Summer,2.5,coastal,Sunny
35.0,33,7.0,5.0,partly cloudy,1025.51,5,Winter,7.5,coastal,Sunny
22.0,89,12.0,85.0,partly cloudy,1017.54,11,Winter,2.0,coastal,Cloudy
30.0,55,5.0,31.0,partly cloudy,1004.15,2,Autumn,6.5,mountain,Cloudy
14.0,68,11.5,11.0,overcast,1012.85,2,Winter,6.5,coastal,Cloudy
34.0,71,4.0,35.0,overcast,1001.54,3,Summer,6.5,coastal,Cloudy
27.0,79,14.0,29.0,partly cloudy,1008.79,1,Summer,7.5,inland,Cloudy
29.0,107,0.5,93.0,partly cloudy,1002.18,8,Spring,10.0,coastal,Cloudy
27.0,54,7.0,11.0,partly cloudy,1015.78,2,Summer,6.0,coastal,Cloudy
24.0,27,2.0,12.0,partly cloudy,1015.66,7,Spring,6.0,inland,Sunny
33.0,69,8.0,5.0,clear,1026.28,9,Autumn,9.5,inland,Sunny
28.0,47,11.5,24.0,partly cloudy,1105.69,9,Autumn,1.5,inland,Sunny
32.0,59,0.5,18.0,partly cloudy,1016.89,2,Spring,7.0,inland,Cloudy
28.0,108,7.5,83.0,partly cloudy,1018.84,1,Summer,4.0,inland,Sunny
27.0,26,9.0,14.0,partly cloudy,1018.24,5,Winter,7.0,inland,Sunny
25.0,51,5.0,18.0,clear,1019.65,7,Autumn,7.0,coastal,Sunny
14.0,65,6.5,26.0,partly cloudy,1019.03,1,Autumn,6.5,coastal,Cloudy
43.0,24,7.0,1.0,clear,1020.87,9,Summer,7.0,inland,Sunny
1.0,52,13.5,18.0,overcast,829.86,14,Spring,6.5,coastal,Cloudy
30.0,96,4.5,97.0,partly cloudy,1001.66,1,Summer,5.5,mountain,Cloudy
44.0,94,9.0,109.0,clear,1024.46,2,Spring,6.5,coastal,Sunny
20.0,48,3.0,10.0,clear,1019.81,10,Autumn,9.5,inland,Sunny
22.0,46,5.0,1.0,clear,1014.95,11,Summer,7.0,mountain,Sunny
25.0,57,3.5,0.0,partly cloudy,1016.85,10,Summer,8.5,inland,Sunny
41.0,33,3.5,5.0,partly cloudy,1021.88,6,Spring,8.0,coastal,Sunny
35.0,50,7.0,3.0,clear,1011.22,7,Autumn,7.5,coastal,Sunny
23.0,63,5.0,2.0,clear,1028.61,9,Winter,9.0,coastal,Sunny
34.0,31,9.5,9.0,clear,1024.74,10,Spring,5.5,inland,Sunny
-2.0,52,13.5,88.0,cloudy,841.43,2,Summer,1.5,mountain,Sunny
11.0,66,13.5,39.0,partly cloudy,1005.33,2,Summer,7.5,coastal,Cloudy
19.0,72,11.0,25.0,overcast,1009.68,4,Spring,7.5,mountain,Cloudy
13.0,76,0.0,12.0,partly cloudy,1006.38,3,Spring,5.5,inland,Cloudy
34.0,24,4.0,13.0,clear,1020.55,11,Summer,8.0,coastal,Sunny
21.0,46,7.5,18.0,clear,1012.01,7,Summer,6.0,coastal,Sunny
60.0,86,12.0,86.0,overcast,1003.36,9,Autumn,2.0,inland,Cloudy
22.0,72,11.0,23.0,overcast,1015.73,2,Winter,5.5,inland,Cloudy
32.0,58,6.5,4.0,clear,1023.83,6,Summer,9.0,mountain,Sunny
26.0,67,10.0,27.0,partly cloudy,1002.53,4,Summer,6.5,inland,Cloudy
35.0,58,3.0,19.0,clear,1015.4,5,Winter,5.0,mountain,Sunny
26.0,27,5.5,14.0,partly cloudy,1027.6,7,Spring,7.5,coastal,Sunny
43.0,50,8.0,16.0,partly cloudy,1017.68,5,Summer,5.5,coastal,Sunny
33.0,58,8.0,41.0,overcast,1017.0,2,Winter,8.0,coastal,Cloudy
23.0,62,10.0,20.0,overcast,1003.85,3,Winter,9.0,mountain,Cloudy
31.0,62,6.0,21.0,partly cloudy,1015.8,1,Autumn,5.5,inland,Cloudy
32.0,27,8.0,18.0,partly cloudy,1010.28,8,Spring,5.5,inland,Sunny
51.0,85,13.5,77.0,clear,1025.39,12,Autumn,5.0,mountain,Sunny
22.0,58,13.5,20.0,overcast,1003.77,3,Winter,7.5,mountain,Cloudy
11.0,82,14.5,96.0,overcast,1014.44,8,Autumn,7.0,inland,Cloudy
14.0,80,13.0,78.0,clear,1011.38,4,Autumn,1.5,mountain,Sunny
27.0,73,12.5,26.0,partly cloudy,1008.72,4,Winter,6.0,mountain,Cloudy
21.0,25,1.0,14.0,clear,1016.38,5,Autumn,7.0,coastal,Sunny
42.0,28,8.0,1.0,partly cloudy,1019.49,9,Spring,6.5,mountain,Sunny
37.0,62,6.0,6.0,clear,1021.37,11,Summer,7.0,inland,Sunny
28.0,52,13.5,30.0,partly cloudy,1011.14,3,Spring,5.0,coastal,Cloudy
11.0,50,14.0,15.0,overcast,1003.19,4,Summer,5.5,mountain,Cloudy
18.0,61,5.0,19.0,partly cloudy,1011.7,2,Spring,6.5,inland,Cloudy
12.0,70,2.5,43.0,partly cloudy,1016.35,2,Autumn,6.5,coastal,Cloudy
12.0,22,1.0,66.0,partly cloudy,858.36,13,Winter,3.0,inland,Cloudy
21.0,28,7.5,14.0,clear,1015.26,10,Summer,5.5,inland,Sunny
39.0,74,9.0,87.0,overcast,1000.45,7,Winter,8.0,inland,Cloudy
27.0,69,3.0,33.0,overcast,1018.37,4,Spring,6.5,coastal,Cloudy
22.0,21,4.5,19.0,clear,1026.59,5,Summer,5.0,coastal,Sunny
13.0,75,0.5,33.0,overcast,1006.64,1,Spring,8.0,mountain,Cloudy
25.0,74,0.0,33.0,partly cloudy,1011.2,1,Summer,8.0,coastal,Cloudy
23.0,28,5.0,0.0,partly cloudy,1016.71,11,Winter,10.0,mountain,Sunny
37.0,62,3.0,18.0,clear,1022.64,10,Winter,9.0,coastal,Sunny
17.0,51,10.5,21.0,overcast,1006.16,2,Summer,8.0,inland,Cloudy
36.0,66,2.0,13.0,clear,1010.25,6,Summer,6.5,inland,Sunny
25.0,65,7.0,0.0,clear,1014.06,10,Winter,5.0,coastal,Sunny
27.0,55,4.5,35.0,partly cloudy,1013.66,1,Spring,5.5,inland,Cloudy
28.0,51,6.5,8.0,partly cloudy,1011.58,10,Autumn,8.5,mountain,Sunny
34.0,69,7.5,32.0,overcast,1019.04,2,Spring,8.5,mountain,Cloudy
16.0,58,7.5,38.0,partly cloudy,1001.5,1,Winter,7.5,coastal,Cloudy
42.0,39,7.5,17.0,partly cloudy,1029.23,5,Spring,9.5,inland,Sunny
23.0,28,6.5,7.0,clear,1022.75,5,Summer,8.5,coastal,Sunny
24.0,79,12.0,12.0,partly cloudy,1013.39,3,Spring,6.0,coastal,Cloudy
44.0,29,1.0,12.0,clear,1012.63,10,Autumn,6.0,inland,Sunny
47.0,108,8.0,94.0,overcast,1003.87,3,Summer,10.5,mountain,Cloudy
70.0,71,6.5,89.0,clear,1028.88,6,Autumn,5.0,mountain,Sunny
28.0,59,9.0,37.0,overcast,1004.99,2,Spring,6.0,inland,Cloudy
39.0,24,5.5,9.0,partly cloudy,1025.3,9,Winter,7.0,coastal,Sunny
18.0,94,2.5,109.0,partly cloudy,1018.62,11,Summer,6.0,coastal,Cloudy
23.0,25,10.0,15.0,clear,1016.92,7,Spring,8.5,mountain,Sunny
29.0,34,0.5,17.0,clear,1017.92,10,Spring,6.0,inland,Sunny
34.0,50,7.5,41.0,partly cloudy,1012.99,2,Winter,7.0,coastal,Cloudy
29.0,61,14.0,33.0,overcast,1004.54,3,Autumn,5.5,coastal,Cloudy
9.0,108,27.5,103.0,partly cloudy,1019.52,10,Spring,3.0,coastal,Cloudy
66.0,83,20.5,109.0,partly cloudy,1005.29,10,Summer,6.5,inland,Cloudy
33.0,34,10.0,2.0,partly cloudy,1020.04,8,Summer,9.5,mountain,Sunny
37.0,50,2.5,9.0,clear,1016.98,5,Spring,7.0,inland,Sunny
-16.0,48,9.0,76.0,cloudy,1157.85,8,Spring,2.5,inland,Cloudy
21.0,68,3.0,30.0,partly cloudy,1019.34,1,Autumn,8.0,coastal,Cloudy
36.0,21,4.5,19.0,clear,1020.62,6,Winter,6.5,coastal,Sunny
20.0,51,3.5,34.0,partly cloudy,1001.09,4,Autumn,7.0,inland,Cloudy
12.0,77,4.0,45.0,partly cloudy,1008.41,4,Spring,8.5,inland,Cloudy
10.0,57,8.5,36.0,partly cloudy,1011.7,4,Summer,8.0,coastal,Cloudy
34.0,31,5.0,6.0,clear,1013.68,7,Spring,7.0,inland,Sunny
31.0,96,14.5,92.0,overcast,1000.22,12,Summer,10.0,mountain,Cloudy
-15.0,71,14.5,41.0,partly cloudy,864.56,13,Winter,11.5,coastal,Sunny
36.0,81,7.5,104.0,overcast,1004.2,8,Autumn,6.0,coastal,Cloudy
23.0,43,5.0,7.0,clear,1021.71,6,Autumn,9.0,mountain,Sunny
30.0,59,5.5,49.0,partly cloudy,1001.22,1,Spring,7.5,inland,Cloudy
33.0,67,4.5,46.0,overcast,1013.32,4,Spring,9.0,mountain,Cloudy
32.0,68,6.0,1.0,clear,1016.28,10,Spring,9.5,mountain,Sunny
28.0,66,12.5,45.0,partly cloudy,1000.76,2,Winter,9.0,inland,Cloudy
24.0,66,9.5,47.0,partly cloudy,1004.79,4,Winter,5.5,coastal,Cloudy
35.0,48,2.5,16.0,partly cloudy,1015.9,5,Autumn,7.0,mountain,Sunny
10.0,44,7.5,28.0,partly cloudy,933.43,13,Spring,3.5,mountain,Sunny
21.0,59,2.5,0.0,clear,1017.02,9,Autumn,6.0,inland,Sunny
11.0,70,7.0,12.0,partly cloudy,1005.16,3,Autumn,7.5,coastal,Cloudy
20.0,78,12.5,89.0,clear,1016.65,13,Autumn,8.5,mountain,Sunny
27.0,77,0.0,30.0,overcast,1008.97,4,Summer,8.5,mountain,Cloudy
39.0,60,9.5,13.0,clear,1013.69,8,Spring,8.0,coastal,Sunny
59.0,106,8.5,109.0,clear,1023.39,13,Winter,9.0,mountain,Sunny
32.0,66,1.5,33.0,partly cloudy,1010.87,1,Spring,8.5,mountain,Cloudy
42.0,26,6.5,6.0,clear,1011.69,7,Summer,7.5,inland,Sunny
25.0,24,7.5,18.0,clear,1027.27,5,Winter,8.5,inland,Sunny
18.0,78,3.0,15.0,partly cloudy,1011.45,2,Summer,8.5,inland,Cloudy
28.0,66,4.0,5.0,clear,1018.89,7,Summer,9.0,coastal,Sunny
27.0,63,2.5,16.0,partly cloudy,1029.77,11,Autumn,9.5,mountain,Sunny
15.0,75,6.0,30.0,partly cloudy,1010.66,2,Summer,6.5,coastal,Cloudy
31.0,59,14.5,20.0,overcast,1001.96,1,Spring,7.5,mountain,Cloudy
29.0,55,7.0,20.0,overcast,1019.91,4,Spring,5.5,inland,Cloudy
18.0,69,13.5,43.0,overcast,1003.49,4,Summer,7.5,mountain,Cloudy
17.0,54,1.5,20.0,overcast,1015.92,4,Winter,8.5,coastal,Cloudy
32.0,59,7.5,43.0,overcast,1010.05,1,Autumn,7.0,coastal,Cloudy
32.0,78,6.5,31.0,overcast,968.75,1,Spring,5.0,inland,Sunny
40.0,96,1.0,88.0,clear,1021.63,0,Summer,7.5,mountain,Sunny
27.0,77,16.0,95.0,partly cloudy,1023.17,0,Summer,10.5,coastal,Sunny
44.0,40,6.0,15.0,clear,1026.5,11,Autumn,6.5,mountain,Sunny
17.0,63,9.0,10.0,overcast,1011.5,3,Winter,6.5,inland,Cloudy
23.0,109,0.0,91.0,clear,1029.8,4,Spring,7.0,coastal,Sunny
41.0,38,1.5,8.0,clear,1028.58,8,Winter,9.5,inland,Sunny
24.0,54,14.5,10.0,overcast,1017.7,1,Summer,5.5,coastal,Cloudy
25.0,51,4.0,3.0,clear,1017.49,9,Summer,7.5,mountain,Sunny
22.0,47,2.5,1.0,clear,1025.67,7,Autumn,8.5,mountain,Sunny
31.0,106,30.0,76.0,overcast,1001.99,0,Summer,8.0,coastal,Cloudy
33.0,42,4.0,8.0,partly cloudy,1021.96,5,Spring,9.0,coastal,Sunny
23.0,23,3.5,8.0,clear,1027.69,5,Spring,6.5,mountain,Sunny
35.0,29,9.0,20.0,cloudy,1092.51,7,Autumn,16.0,inland,Cloudy
13.0,50,6.0,13.0,partly cloudy,1001.38,1,Summer,7.5,mountain,Cloudy
12.0,54,10.5,47.0,partly cloudy,1007.02,3,Spring,7.0,coastal,Cloudy
26.0,33,7.5,6.0,clear,1025.21,8,Spring,7.5,mountain,Sunny
23.0,63,3.0,18.0,clear,1024.52,5,Winter,8.0,inland,Sunny
23.0,104,3.5,76.0,partly cloudy,1028.36,8,Summer,4.0,coastal,Sunny
12.0,56,11.5,26.0,partly cloudy,1003.73,3,Winter,5.5,coastal,Cloudy
28.0,67,2.5,28.0,partly cloudy,1045.99,8,Summer,3.0,coastal,Cloudy
18.0,75,11.0,20.0,partly cloudy,1003.14,4,Autumn,7.5,inland,Cloudy
39.0,39,3.5,16.0,partly cloudy,1014.76,8,Summer,8.0,inland,Sunny
26.0,60,1.5,14.0,clear,1028.72,5,Autumn,8.5,inland,Sunny
2.0,32,5.0,49.0,partly cloudy,904.2,0,Spring,3.0,inland,Sunny
20.0,48,9.0,8.0,clear,1012.09,10,Summer,6.5,coastal,Sunny
43.0,60,3.5,2.0,clear,1011.03,8,Spring,7.5,mountain,Sunny
26.0,83,10.5,72.0,overcast,1004.7,1,Summer,8.0,coastal,Cloudy
34.0,53,6.5,41.0,partly cloudy,1013.81,1,Winter,8.0,coastal,Cloudy
16.0,103,17.5,95.0,overcast,1004.72,12,Autumn,1.5,coastal,Cloudy
12.0,56,0.5,48.0,partly cloudy,1008.67,3,Autumn,7.0,coastal,Cloudy
20.0,79,9.5,40.0,partly cloudy,1004.02,1,Spring,5.0,mountain,Cloudy
38.0,40,5.0,11.0,clear,1010.5,9,Autumn,9.5,coastal,Sunny
25.0,27,4.0,15.0,clear,1017.86,5,Autumn,7.5,mountain,Sunny
34.0,45,7.0,8.0,clear,1019.45,9,Winter,7.0,inland,Sunny
19.0,65,5.5,34.0,partly cloudy,1142.94,5,Winter,1.0,mountain,Sunny
37.0,57,3.5,16.0,clear,1010.9,5,Autumn,9.5,mountain,Sunny
31.0,29,7.0,16.0,partly cloudy,1023.21,5,Spring,7.0,coastal,Sunny
20.0,21,9.0,9.0,partly cloudy,1013.66,9,Autumn,7.5,coastal,Sunny
31.0,52,7.0,19.0,clear,1024.37,7,Summer,8.0,mountain,Sunny
39.0,34,3.5,5.0,clear,1016.3,7,Spring,7.5,inland,Sunny
80.0,76,3.0,93.0,clear,1014.26,13,Winter,3.0,inland,Sunny
16.0,50,9.0,32.0,partly cloudy,1000.8,1,Autumn,7.5,mountain,Cloudy
15.0,79,0.0,39.0,partly cloudy,1015.32,4,Summer,6.0,coastal,Cloudy
-19.0,51,10.0,26.0,overcast,1098.88,6,Spring,18.5,mountain,Cloudy
26.0,50,3.0,20.0,partly cloudy,1008.81,1,Summer,5.5,inland,Cloudy
18.0,98,21.0,92.0,partly cloudy,1010.14,8,Spring,11.0,coastal,Cloudy
44.0,65,6.5,3.0,clear,1021.53,8,Autumn,7.0,coastal,Sunny
42.0,52,3.0,12.0,partly cloudy,1025.53,9,Summer,5.5,mountain,Sunny
15.0,51,14.0,44.0,partly cloudy,1006.17,2,Summer,7.5,mountain,Cloudy
52.0,101,7.0,96.0,clear,1021.67,1,Summer,6.5,coastal,Sunny
41.0,46,0.5,11.0,clear,1023.72,10,Autumn,7.0,inland,Sunny
26.0,68,6.5,32.0,overcast,1015.95,2,Spring,6.0,coastal,Cloudy
19.0,87,1.0,70.0,partly cloudy,1012.87,3,Winter,11.5,inland,Sunny
15.0,99,13.5,80.0,overcast,1002.93,14,Spring,9.0,coastal,Cloudy
33.0,60,7.0,37.0,partly cloudy,1009.8,2,Summer,6.0,mountain,Cloudy
26.0,71,4.0,39.0,partly cloudy,1011.13,4,Spring,6.0,coastal,Cloudy
45.0,95,3.0,107.0,overcast,1013.55,1,Spring,8.0,coastal,Cloudy
28.0,66,1.5,8.0,clear,1028.57,6,Winter,8.0,coastal,Sunny
17.0,66,9.5,28.0,partly cloudy,1006.33,4,Summer,6.5,coastal,Cloudy
22.0,76,2.5,35.0,overcast,1006.76,4,Summer,7.0,inland,Cloudy
38.0,49,11.5,56.0,partly cloudy,1187.38,13,Autumn,13.0,inland,Sunny
19.0,76,9.5,14.0,overcast,1012.3,2,Spring,6.5,inland,Cloudy
23.0,63,2.0,16.0,partly cloudy,1015.73,4,Spring,8.5,coastal,Cloudy
13.0,60,5.5,31.0,overcast,1019.03,2,Spring,5.5,inland,Cloudy
19.0,59,1.0,25.0,overcast,1011.4,3,Autumn,5.0,coastal,Cloudy
41.0,20,1.5,13.0,clear,1028.27,5,Winter,9.0,mountain,Sunny
33.0,36,4.5,2.0,clear,1026.57,7,Winter,8.5,coastal,Sunny
11.0,57,5.0,19.0,partly cloudy,1019.91,1,Summer,7.5,inland,Cloudy
27.0,64,2.0,42.0,partly cloudy,1005.59,4,Summer,8.0,mountain,Cloudy
-18.0,70,11.0,12.0,partly cloudy,1182.77,14,Summer,10.5,inland,Cloudy
34.0,71,4.0,42.0,partly cloudy,1001.55,4,Summer,7.0,mountain,Cloudy
38.0,44,5.5,7.0,partly cloudy,1015.53,5,Summer,9.5,inland,Sunny
22.0,57,5.0,2.0,clear,1026.21,5,Autumn,8.0,mountain,Sunny
20.0,20,8.0,7.0,clear,1027.65,6,Spring,9.5,inland,Sunny
47.0,72,11.5,108.0,clear,1019.44,12,Autumn,9.5,inland,Sunny
39.0,42,3.0,19.0,partly cloudy,1011.63,7,Winter,6.0,inland,Sunny
29.0,46,6.0,9.0,clear,1014.94,5,Spring,6.5,inland,Sunny
39.0,29,0.5,16.0,clear,1017.52,5,Spring,6.0,coastal,Sunny
26.0,23,3.0,13.0,clear,1014.87,5,Summer,7.5,coastal,Sunny
-12.0,24,3.0,50.0,partly cloudy,1016.12,3,Summer,6.5,inland,Sunny
24.0,78,7.0,27.0,partly cloudy,1004.99,4,Summer,6.5,coastal,Cloudy
36.0,33,8.5,2.0,partly cloudy,1025.96,6,Summer,9.0,coastal,Sunny
21.0,58,7.5,16.0,overcast,1019.37,2,Autumn,7.5,inland,Cloudy
-19.0,26,7.5,20.0,cloudy,879.11,10,Spring,13.5,mountain,Cloudy
35.0,40,7.0,5.0,partly cloudy,1013.66,9,Summer,9.5,inland,Sunny
