Weather Type,Temperature_normalized,Humidity_normalized,Wind Speed_normalized,Precipitation (%)_normalized,Cloud Cover_clear,Cloud Cover_cloudy,Cloud Cover_overcast,Cloud Cover_partly cloudy,Atmospheric Pressure_normalized,UV Index_normalized,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Visibility (km)_normalized,Location_coastal,Location_inland,Location_mountain,Weather Type_Cloudy,Weather Type_Sunny
Cloudy,0.3870806205446405,0.37987159320245384,0.32513895729568304,-0.4895021474043328,0,0,0,1,0.016414656343588734,-0.75374176952361,1,0,0,0,-0.5118634613827596,0,0,1,1,0
Sunny,-0.11999546275481575,-1.7325459033306994,-0.9260845818328313,-0.6283637414733502,0,0,0,1,-0.09552575726798271,0.6392844626545956,0,0,0,1,-0.9067881760768726,0,0,1,0,1
Cloudy,-0.19243490322616663,-0.1868745644040019,0.2288909927473358,0.17009042442349992,0,0,0,1,0.020612421854022026,-0.47513652308796894,0,0,1,0,0.08052361065840993,0,1,0,1,0
Cloudy,0.9665961443154476,1.3587967745226956,0.32513895729568304,2.391875929527778,0,0,1,0,0.11576177342385711,-0.75374176952361,0,0,1,0,0.08052361065840993,0,0,1,1,0
Sunny,0.3870806205446405,-0.9081878559031275,-1.4073244045745676,-0.9755177266458938,1,0,0,0,0.13451179270379418,0.36067921621895443,0,0,0,1,0.870373040046636,1,0,0,0,1
Sunny,0.2422017396019387,0.5859611050593468,-1.3110764400262203,1.2809831769756392,0,0,1,0,1.6879648825983766,-0.75374176952361,0,1,0,0,2.055147184128975,0,1,0,0,1
Cloudy,-1.27902651029643,0.27682683727400736,1.2876186027791556,-0.4895021474043328,0,0,1,0,-0.05018988975529615,-1.3109522623948924,0,1,0,0,0.4754483253525229,1,0,0,1,0
Cloudy,-0.9168293079396755,-0.1868745644040019,-1.1185805109295257,-0.003486568162771831,0,0,0,1,-0.13274594479383137,-1.0323470159592512,1,0,0,0,-0.709325818729816,0,1,0,1,0
Cloudy,-0.26487434369751756,-0.34144169829667165,0.32513895729568304,-0.10763276371453488,0,0,0,1,-0.16548851577521487,-1.3109522623948924,1,0,0,0,0.27798596800546643,0,0,1,1,0
Sunny,-0.19243490322616663,1.5648862863795887,-1.1185805109295257,1.9058603502862175,0,0,0,1,0.09533264793974482,1.475100201961519,0,0,1,0,-0.3144011040357031,0,0,1,0,1
Sunny,-0.26487434369751756,-0.599053588117788,0.13264302819898854,-0.5242175459215871,1,0,0,0,0.32089258136706295,-0.1965312766523278,0,0,1,0,-0.5118634613827596,0,0,1,0,1
Sunny,-0.4821926651115702,-0.23839694236822517,-0.829836617284484,-0.5242175459215871,1,0,0,0,0.34691872753175507,0.36067921621895443,0,0,1,0,0.27798596800546643,0,0,1,0,1
Cloudy,-0.4821926651115702,0.8435729948804631,-0.7335886527361368,0.30895201849251736,0,0,0,1,0.11156400791342383,-1.0323470159592512,0,0,0,1,0.27798596800546643,0,0,1,1,0
Sunny,0.3870806205446405,-1.4234116355453599,-0.15610086544605323,-0.4895021474043328,1,0,0,0,0.24561265321327963,0.36067921621895443,0,0,1,0,0.4754483253525229,1,0,0,0,1
Sunny,0.45952006101599135,-0.599053588117788,-0.444844759091095,-0.9755177266458938,1,0,0,0,0.38553817022774395,0.9178897090902367,0,1,0,0,1.0678353973936925,0,1,0,0,1
Cloudy,-0.4821926651115702,0.37987159320245384,1.1913706382308085,-0.10763276371453488,0,0,0,1,0.14626553613301124,-0.75374176952361,1,0,0,0,0.4754483253525229,0,0,1,1,0
Cloudy,-0.047556022283464866,0.7405282389520166,0.4213869218440303,0.5172444095960435,0,0,0,1,0.11380281618565641,-1.3109522623948924,0,0,1,0,-0.11693874668864658,1,0,0,1,0
Sunny,1.5461116680862548,0.8435729948804631,0.8063787800374194,1.732283357699946,0,0,0,1,0.42919493153625526,1.1964949555258777,0,0,1,0,-0.11693874668864658,1,0,0,0,1
Sunny,0.31464118007328956,-1.217322123688467,-0.9260845818328313,1.072690785872113,0,0,0,1,4.106157667642351,-1.0323470159592512,0,0,0,1,-2.8814117495474374,1,0,0,0,1
Sunny,-0.047556022283464866,-0.8051430999746809,-1.214828475477873,-0.8366561325768763,1,0,0,0,0.24421339804313624,0.9178897090902367,0,0,1,0,0.6729106826995794,0,0,1,0,1
Cloudy,-1.1341476293537283,-0.13535218643977867,0.4213869218440303,-0.45478674888707843,0,0,0,1,0.018093762547760777,-0.47513652308796894,0,0,0,1,-0.3144011040357031,0,0,1,1,0
Cloudy,-0.9168293079396755,1.1527072626658026,4.078809574681226,1.350413974010148,0,0,0,1,-0.1610108992307529,-0.47513652308796894,0,0,0,1,-0.5118634613827596,0,1,0,1,0
Sunny,-0.7719504269969738,1.5133639084153654,2.057602319165934,1.7669987562172003,0,0,0,1,0.3690269592200394,-1.5895575088305334,0,1,0,0,-0.709325818729816,0,0,1,0,1
Sunny,0.024883418187886024,-1.217322123688467,0.4213869218440303,-1.114379320714911,0,0,0,1,0.27611641592243374,0.9178897090902367,0,0,0,1,1.0678353973936925,1,0,0,0,1
Cloudy,0.2422017396019387,0.6890058609877934,1.8651063900692393,2.218298936941507,0,0,0,1,0.002701955676170977,2.0323106948328014,0,0,0,1,-1.499175248118042,0,1,0,1,0
Sunny,0.8941567038440967,0.37987159320245384,0.13264302819898854,-0.9408023281286394,1,0,0,0,0.16977302299144212,-0.1965312766523278,1,0,0,0,-0.709325818729816,0,0,1,0,1
Sunny,-0.5546321055829211,-1.7840682812949227,-0.829836617284484,-0.906086929611385,1,0,0,0,-0.0020555119023228457,0.9178897090902367,0,0,0,1,-0.3144011040357031,0,0,1,0,1
Sunny,-0.4097532246402193,0.32834921523823063,-0.2523488299944005,-0.6283637414733502,0,0,0,1,-0.10028322484647653,0.6392844626545956,1,0,0,0,-0.11693874668864658,1,0,0,0,1
Cloudy,0.3870806205446405,1.0496625067373562,-0.5410927236394423,0.3783828155270261,0,0,1,0,-0.16269000543492496,-1.3109522623948924,0,1,0,0,-0.11693874668864658,1,0,0,1,0
Sunny,0.09732285865923691,-0.599053588117788,0.2288909927473358,-1.0449485236804024,1,0,0,0,0.37994114954716407,1.475100201961519,0,0,1,0,-0.709325818729816,0,1,0,0,1
Sunny,-0.047556022283464866,-1.011232611831574,-0.444844759091095,-0.5589329444388415,1,0,0,0,0.21986635808261934,-0.1965312766523278,1,0,0,0,-0.9067881760768726,0,0,1,0,1
Sunny,-0.5546321055829211,-0.5475312101535647,0.4213869218440303,-0.906086929611385,1,0,0,0,0.0393624411339591,0.0820739697833133,1,0,0,0,0.4754483253525229,0,0,1,0,1
Cloudy,-0.4097532246402193,0.5344387270951236,-1.214828475477873,-0.45478674888707843,0,0,0,1,-0.06306303732062789,-1.0323470159592512,1,0,0,0,-0.5118634613827596,0,0,1,1,0
Sunny,0.9665961443154476,-1.5264563914738065,0.13264302819898854,-0.5242175459215871,1,0,0,0,-0.06222348421854186,1.475100201961519,0,1,0,0,1.0678353973936925,0,1,0,0,1
Cloudy,0.2422017396019387,0.32834921523823063,-1.1185805109295257,-0.4895021474043328,0,0,1,0,-0.14785790063139248,-1.0323470159592512,0,0,1,0,0.6729106826995794,0,1,0,1,0
Cloudy,-0.627071546054272,0.17378208134556086,-1.214828475477873,-0.6283637414733502,0,0,0,1,0.07686247969383643,-1.0323470159592512,1,0,0,0,-0.709325818729816,1,0,0,1,0
Cloudy,-0.3373137841688684,-0.34144169829667165,-1.214828475477873,0.1353750259062456,0,0,0,1,0.11660132652594314,-1.3109522623948924,0,1,0,0,0.4754483253525229,0,0,1,1,0
Sunny,0.09732285865923691,0.9466177508089096,-1.3110764400262203,2.044721944355235,0,1,0,0,-2.218195850377407,2.310915941268442,1,0,0,0,3.832308400252483,0,1,0,0,1
Cloudy,-0.8443898674683247,0.4313939711666771,-0.15610086544605323,0.44781361256153474,0,0,0,1,-0.1417011778827553,-1.0323470159592512,0,0,1,0,-0.709325818729816,1,0,0,1,0
Sunny,1.328793346672202,1.8224981762007049,-0.6373406881877896,2.0100065458379808,1,0,0,0,0.2554074394042928,1.1964949555258777,0,1,0,0,2.055147184128975,0,0,1,0,1
Cloudy,-0.5546321055829211,-0.4444864542251182,-0.15610086544605323,-0.3853559518525697,0,0,0,1,0.00494076394840037,-0.47513652308796894,1,0,0,0,-0.5118634613827596,0,1,0,1,0
Sunny,-0.4097532246402193,-0.5475312101535647,-0.2523488299944005,-0.5936483429560958,1,0,0,0,0.17481034160396144,-0.1965312766523278,0,1,0,0,0.870373040046636,0,1,0,0,1
Cloudy,0.09732285865923691,-0.4444864542251182,-0.3485967945427477,-0.6630791399906045,0,0,1,0,-0.3278021155119954,-0.47513652308796894,1,0,0,0,0.27798596800546643,0,1,0,1,0
Sunny,0.8941567038440967,-1.011232611831574,0.4213869218440303,-0.5936483429560958,1,0,0,0,0.4501837590884249,0.6392844626545956,1,0,0,0,0.27798596800546643,1,0,0,0,1
Sunny,0.3870806205446405,-1.7325459033306994,-0.6373406881877896,-1.010233125163148,0,0,0,1,0.38749712746594467,1.475100201961519,0,1,0,0,-0.3144011040357031,1,0,0,0,1
Cloudy,0.3870806205446405,0.9466177508089096,-1.214828475477873,-0.35064055333531535,0,0,0,1,0.1406685154524314,-0.47513652308796894,0,0,0,1,0.4754483253525229,0,0,1,1,0
Cloudy,-1.0617081888823774,0.17378208134556086,1.2876186027791556,-0.6630791399906045,0,0,1,0,-0.28022743972707626,-1.3109522623948924,1,0,0,0,0.6729106826995794,0,1,0,1,0
Cloudy,-1.0617081888823774,0.8435729948804631,0.4213869218440303,0.274236619975263,0,0,1,0,-0.23405201911230367,-1.0323470159592512,1,0,0,0,0.27798596800546643,0,1,0,1,0
Cloudy,-0.9168293079396755,2.3892443338071607,0.03639506365064129,1.4892755680791654,0,0,1,0,-0.20438780950523555,1.1964949555258777,0,0,1,0,-1.3017128907709856,0,1,0,1,0
Sunny,1.1839144657295002,-1.7325459033306994,-1.214828475477873,-0.906086929611385,0,0,0,1,0.06342963006044734,1.1964949555258777,0,0,1,0,-0.709325818729816,1,0,0,0,1
Cloudy,-0.26487434369751756,-0.4444864542251182,-0.7335886527361368,-0.7672253355423676,0,0,1,0,0.09589235000780218,-0.47513652308796894,0,0,1,0,-0.3144011040357031,0,0,1,1,0
Sunny,0.6043989419586931,-1.3718892575811368,-0.2523488299944005,-1.0449485236804024,1,0,0,0,0.34691872753175507,0.36067921621895443,0,1,0,0,0.08052361065840993,1,0,0,0,1
Sunny,0.5319595014873423,-0.49600883218934144,0.32513895729568304,-0.6283637414733502,1,0,0,0,-0.0904884386554634,1.1964949555258777,1,0,0,0,-0.11693874668864658,1,0,0,0,1
Sunny,-0.11999546275481575,-0.8051430999746809,-0.05985290089770597,-0.4895021474043328,0,0,0,1,0.2971052434746002,-0.1965312766523278,0,0,1,0,-0.5118634613827596,0,0,1,0,1
Cloudy,-0.8443898674683247,0.019214947452891096,0.8063787800374194,0.17009042442349992,0,0,0,1,-0.26959310043397705,-0.47513652308796894,0,0,1,0,-0.3144011040357031,0,0,1,1,0
Cloudy,0.45952006101599135,-0.3929640762608949,0.32513895729568304,0.274236619975263,0,0,1,0,-0.12714892411325152,-0.47513652308796894,0,1,0,0,-0.5118634613827596,1,0,0,1,0
Cloudy,0.1697622991305878,-0.032307430511332155,-1.214828475477873,0.3783828155270261,0,0,1,0,0.14542598303092522,-1.0323470159592512,0,0,0,1,-0.5118634613827596,0,1,0,1,0
Cloudy,-0.7719504269969738,0.5344387270951236,-1.0223325463811785,0.10065962738899123,0,0,1,0,-0.10979816000345782,-1.3109522623948924,0,1,0,0,0.4754483253525229,1,0,0,1,0
Cloudy,-2.9451336411375,0.07073732541711435,0.4213869218440303,-0.4895021474043328,0,0,0,1,-2.293755629565219,0.36067921621895443,0,0,0,1,-0.709325818729816,1,0,0,1,0
Cloudy,-1.0617081888823774,0.9466177508089096,-0.444844759091095,1.2462677784583849,0,1,0,0,0.20531410431311556,-0.75374176952361,1,0,0,0,0.4754483253525229,0,1,0,1,0
Sunny,-0.3373137841688684,-1.217322123688467,-0.7335886527361368,-0.6977945385078589,1,0,0,0,0.41072476329035007,0.36067921621895443,0,1,0,0,0.27798596800546643,0,1,0,0,1
Sunny,0.8217172633727458,-0.23839694236822517,-1.4073244045745676,-1.010233125163148,1,0,0,0,0.3049410724274158,0.6392844626545956,1,0,0,0,0.870373040046636,0,1,0,0,1
Sunny,0.7492778229013949,0.5344387270951236,-0.15610086544605323,-0.45478674888707843,1,0,0,0,-0.07145856834149447,-0.1965312766523278,0,1,0,0,0.27798596800546643,1,0,0,0,1
Cloudy,-0.3373137841688684,0.7405282389520166,1.3838665673275028,-0.003486568162771831,0,0,0,1,-0.30345507555147844,-0.47513652308796894,1,0,0,0,0.08052361065840993,0,0,1,1,0
Sunny,-0.5546321055829211,-0.1868745644040019,-1.0223325463811785,-0.8713715310941307,1,0,0,0,0.44542629150993746,0.9178897090902367,0,1,0,0,0.6729106826995794,0,1,0,0,1
Cloudy,-0.11999546275481575,0.48291634913090037,-0.6373406881877896,0.23952122145800864,0,0,0,1,0.07378411831951782,-0.47513652308796894,0,0,1,0,-0.709325818729816,0,0,1,1,0
Sunny,-0.5546321055829211,-0.8566654779389041,-0.6373406881877896,-0.6630791399906045,0,0,0,1,0.4070866998479709,-0.1965312766523278,1,0,0,0,0.27798596800546643,0,0,1,0,1
Cloudy,0.024883418187886024,0.32834921523823063,1.1913706382308085,0.5519598081132978,0,0,0,1,-0.01576821256973742,-0.47513652308796894,0,0,1,0,-0.709325818729816,0,0,1,1,0
Sunny,0.9665961443154476,-0.0838298084755554,-0.6373406881877896,-0.45478674888707843,1,0,0,0,0.33124706962613026,1.1964949555258777,0,1,0,0,-0.3144011040357031,1,0,0,0,1
Cloudy,0.45952006101599135,0.9981401287731329,1.3838665673275028,-0.6630791399906045,0,0,1,0,0.00885867842480817,-1.3109522623948924,0,0,1,0,-0.5118634613827596,0,0,1,1,0
Sunny,0.3870806205446405,-1.4749340135095832,0.4213869218440303,-0.8713715310941307,0,0,0,1,0.14990359957538718,1.475100201961519,0,1,0,0,-0.9067881760768726,1,0,0,0,1
Cloudy,0.024883418187886024,-0.13535218643977867,0.2288909927473358,-0.6977945385078589,0,0,0,1,-0.006253277412756139,-1.3109522623948924,0,0,0,1,0.08052361065840993,1,0,0,1,0
Cloudy,1.5461116680862548,0.27682683727400736,-0.6373406881877896,1.0032599888376044,0,1,0,0,3.2733209903722598,2.310915941268442,0,0,0,1,-2.8814117495474374,1,0,0,1,0
Cloudy,3.646855441755431,1.1527072626658026,0.13264302819898854,1.5934217636309285,0,0,1,0,-0.09972352277841601,-1.3109522623948924,1,0,0,0,-1.104250533423929,0,1,0,1,0
Sunny,0.2422017396019387,2.1316324439860446,1.4801145318758502,2.0100065458379808,1,0,0,0,0.17425063953590408,0.6392844626545956,0,0,1,0,-0.9067881760768726,1,0,0,0,1
Cloudy,0.024883418187886024,0.8950953728446863,-1.3110764400262203,-0.5589329444388415,0,0,0,1,0.13619089890796943,-0.47513652308796894,0,0,1,0,0.08052361065840993,0,1,0,1,0
Cloudy,-0.6995109865256228,0.7920506169162399,-1.3110764400262203,0.23952122145800864,0,0,1,0,-0.17416389783011332,-1.3109522623948924,1,0,0,0,0.4754483253525229,0,0,1,1,0
Cloudy,0.31464118007328956,0.2253044593097841,-0.829836617284484,0.4825290110787891,0,0,0,1,-0.19011540676976046,-1.3109522623948924,0,0,1,0,0.4754483253525229,0,1,0,1,0
Cloudy,-0.4097532246402193,0.1222597033813376,0.2288909927473358,-0.6630791399906045,0,0,0,1,-0.11623473378612369,-1.0323470159592512,0,1,0,0,-0.3144011040357031,0,1,0,1,0
Sunny,2.5602638346851676,1.410319152486919,1.095122673682461,1.4892755680791654,1,0,0,0,0.37938144747910674,2.310915941268442,0,0,1,0,-1.894099962812155,1,0,0,0,1
Sunny,0.5319595014873423,-1.3203668796169135,-0.05985290089770597,-0.9408023281286394,0,0,0,1,0.3290082613539009,-0.1965312766523278,0,0,0,1,0.08052361065840993,1,0,0,0,1
Cloudy,-0.4097532246402193,1.5648862863795887,0.9026267445857666,1.8364295532517088,0,0,0,1,0.10596698723284398,1.475100201961519,0,0,0,1,-2.0915623201592117,1,0,0,1,0
Cloudy,0.1697622991305878,-0.1868745644040019,-0.444844759091095,-0.038201966680026185,0,0,0,1,-0.26875354733189105,-1.0323470159592512,1,0,0,0,-0.3144011040357031,0,0,1,1,0
Cloudy,-0.9892687484110264,0.48291634913090037,0.8063787800374194,-0.7325099370251132,0,0,1,0,-0.025283147726721886,-1.0323470159592512,0,0,0,1,-0.3144011040357031,1,0,0,1,0
Cloudy,0.45952006101599135,0.6374834830235702,-0.6373406881877896,0.10065962738899123,0,0,1,0,-0.3417946672134418,-0.75374176952361,0,0,1,0,-0.3144011040357031,1,0,0,1,0
Cloudy,-0.047556022283464866,1.0496625067373562,1.2876186027791556,-0.10763276371453488,0,0,0,1,-0.13890266754246855,-1.3109522623948924,0,0,1,0,0.08052361065840993,0,1,0,1,0
Cloudy,0.09732285865923691,2.4922890897356074,-1.3110764400262203,2.1141527413897436,0,0,0,1,-0.32388420103559074,0.6392844626545956,0,1,0,0,1.0678353973936925,1,0,0,1,0
Cloudy,-0.047556022283464866,-0.23839694236822517,-0.05985290089770597,-0.7325099370251132,0,0,0,1,0.0567132052437528,-1.0323470159592512,0,0,1,0,-0.5118634613827596,1,0,0,1,0
Sunny,-0.26487434369751756,-1.629501147402253,-1.0223325463811785,-0.6977945385078589,0,0,0,1,0.05335499283540553,0.36067921621895443,0,1,0,0,-0.5118634613827596,0,1,0,0,1
Sunny,0.3870806205446405,0.5344387270951236,0.13264302819898854,-0.9408023281286394,1,0,0,0,0.35055679097412784,0.9178897090902367,1,0,0,0,0.870373040046636,0,1,0,0,1
Sunny,0.024883418187886024,-0.599053588117788,0.8063787800374194,-0.28120975630080663,0,0,0,1,2.572853852197852,0.9178897090902367,1,0,0,0,-2.289024677506268,0,1,0,0,1
Cloudy,0.31464118007328956,0.019214947452891096,-1.3110764400262203,-0.4895021474043328,0,0,0,1,0.08777667002096426,-1.0323470159592512,0,1,0,0,-0.11693874668864658,0,1,0,1,0
Sunny,0.024883418187886024,2.5438114676998302,0.03639506365064129,1.7669987562172003,0,0,0,1,0.1423476216566066,-1.3109522623948924,0,0,1,0,-1.3017128907709856,0,1,0,0,1
Sunny,-0.047556022283464866,-1.6810235253664763,0.32513895729568304,-0.6283637414733502,0,0,0,1,0.12555655961487025,-0.1965312766523278,0,0,0,1,-0.11693874668864658,0,1,0,0,1
Sunny,-0.19243490322616663,-0.3929640762608949,-0.444844759091095,-0.4895021474043328,1,0,0,0,0.1650155554129483,0.36067921621895443,1,0,0,0,-0.11693874668864658,1,0,0,0,1
Cloudy,-0.9892687484110264,0.32834921523823063,-0.15610086544605323,-0.21177895926629794,0,0,0,1,0.1476647913031546,-1.3109522623948924,1,0,0,0,-0.3144011040357031,1,0,0,1,0
Sunny,1.1114750252581493,-1.7840682812949227,-0.05985290089770597,-1.0796639221976567,1,0,0,0,0.19915738156447835,0.9178897090902367,0,0,1,0,-0.11693874668864658,0,1,0,0,1
Cloudy,-1.930981474538588,-0.34144169829667165,1.1913706382308085,-0.4895021474043328,0,0,1,0,-5.146277219422087,2.310915941268442,0,1,0,0,-0.3144011040357031,1,0,0,1,0
Cloudy,0.1697622991305878,1.9255429321291515,-0.5410927236394423,2.2530143354587606,0,0,0,1,-0.33843645480509454,-1.3109522623948924,0,0,1,0,-0.709325818729816,0,0,1,1,0
Sunny,1.1839144657295002,1.8224981762007049,0.32513895729568304,2.669599117665813,1,0,0,0,0.29962390278086465,-1.0323470159592512,0,1,0,0,-0.3144011040357031,1,0,0,0,1
Sunny,-0.5546321055829211,-0.5475312101535647,-0.829836617284484,-0.7672253355423676,1,0,0,0,0.16949317195741026,1.1964949555258777,1,0,0,0,0.870373040046636,0,1,0,0,1
Sunny,-0.4097532246402193,-0.6505759660820112,-0.444844759091095,-1.0796639221976567,1,0,0,0,0.03348556941935376,1.475100201961519,0,0,1,0,-0.11693874668864658,0,0,1,0,1
Sunny,-0.19243490322616663,-0.0838298084755554,-0.7335886527361368,-1.114379320714911,0,0,0,1,0.08665726588484957,1.1964949555258777,0,0,1,0,0.4754483253525229,0,1,0,0,1
Sunny,0.9665961443154476,-1.3203668796169135,-0.7335886527361368,-0.9408023281286394,0,0,0,1,0.22742233600139988,0.0820739697833133,0,1,0,0,0.27798596800546643,1,0,0,0,1
Sunny,0.5319595014873423,-0.4444864542251182,-0.05985290089770597,-1.010233125163148,1,0,0,0,-0.07089886627343712,0.36067921621895443,1,0,0,0,0.08052361065840993,1,0,0,0,1
Sunny,-0.3373137841688684,0.2253044593097841,-0.444844759091095,-1.0449485236804024,1,0,0,0,0.4157620819028662,0.9178897090902367,0,0,0,1,0.6729106826995794,1,0,0,0,1
Sunny,0.45952006101599135,-1.4234116355453599,0.4213869218440303,-0.801940734059622,1,0,0,0,0.30745973173367386,1.1964949555258777,0,1,0,0,-0.709325818729816,0,1,0,0,1
Sunny,-2.1482997959526404,-0.34144169829667165,1.1913706382308085,1.9405757488034718,0,1,0,0,-4.8224895730506185,-1.0323470159592512,0,0,1,0,-2.289024677506268,0,0,1,0,1
Cloudy,-1.2065870698250791,0.37987159320245384,1.1913706382308085,0.23952122145800864,0,0,0,1,-0.2357311253164757,-1.0323470159592512,0,0,1,0,0.08052361065840993,1,0,0,1,0
Cloudy,-0.627071546054272,0.6890058609877934,0.7101308154890721,-0.2464943577835523,0,0,1,0,-0.1139959255138943,-0.47513652308796894,0,1,0,0,0.08052361065840993,0,0,1,1,0
Cloudy,-1.0617081888823774,0.8950953728446863,-1.4073244045745676,-0.6977945385078589,0,0,0,1,-0.20634676674343946,-0.75374176952361,0,1,0,0,-0.709325818729816,0,1,0,1,0
